index,Components,RMSE,MAE,R^2
232,"['12', '13', '14', '15', '16']",7.336738769635448,5.254743494936384,0.04384254731850934
233,"['12', '13', '14', '15', '16', '17']",7.247653405424962,4.9486852859246975,0.06692160095255584
234,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.875881909060234,4.378795352272594,0.1601917803699826
235,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.915958038986357,4.555605352165826,0.15037359365225222
236,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.968944816070633,4.7162960239277165,0.1373048556179548
237,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.937412443780775,4.4979821731872445,0.1450940641411257
238,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",6.990740039211455,4.817382040627421,0.13190029694107575
239,"['5', '6', '7', '8', '9', '10', '11', '12', '13']",7.085450993349298,4.712055866444972,0.10821882643450731
240,"['6', '7', '8', '9', '10', '11', '12', '13']",7.120760776554711,4.700399372999163,0.09930843797643663
241,"['7', '8', '9', '10', '11', '12', '13']",7.200749864855941,4.861538863525352,0.07895944699101254
242,"['8', '9', '10', '11', '12', '13']",7.242786600986762,4.906833774718419,0.06817430583795725
243,"['9', '10', '11', '12', '13']",7.291591893234867,5.029372738765653,0.05557383754547185
244,"['10', '11', '12', '13']",7.339241194828166,5.112115094242555,0.043190181021217966
245,"['11', '12', '13']",7.358177557615584,4.937145067877061,0.0382463805343608
246,"['12', '13']",7.430930962974503,5.149173321265808,0.019133830982237865
247,['13'],7.48595028757193,5.039642459019236,0.0045552051476751565
248,"['13', '14']",7.452534475492721,5.006144194938344,0.013422310550272876
249,"['13', '14', '15']",7.425278625401394,5.026329182016291,0.020625455150504513
250,"['13', '14', '15', '16']",7.361688590084725,5.063555914963788,0.037328339678614264
251,"['13', '14', '15', '16', '17']",7.289755737695803,4.859679462909496,0.05604942504794541
252,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.870187768994627,4.466446774376567,0.16158214909230928
253,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.926569274414447,4.5832332642939155,0.14776441004174345
254,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.937099382810511,4.722743770514282,0.14517122018313988
255,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.940765690638058,4.516837683177398,0.144267414871458
256,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",6.973560306291896,4.5525549151899485,0.1361617616041182
257,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",7.043635667637248,4.706120029142345,0.11871359523239744
258,"['6', '7', '8', '9', '10', '11', '12', '13', '14']",7.157701300868396,4.942404562072004,0.08993912405702231
259,"['7', '8', '9', '10', '11', '12', '13', '14']",7.191286039374133,5.005656749548783,0.0813788725229252
260,"['8', '9', '10', '11', '12', '13', '14']",7.252699887050296,4.907042048521456,0.06562175890194366
261,"['9', '10', '11', '12', '13', '14']",7.271917684225481,5.05472099214311,0.060663472437833654
262,"['10', '11', '12', '13', '14']",7.319049131772339,5.107867439396763,0.04844777828265168
263,"['11', '12', '13', '14']",7.347122138770772,5.095894560732278,0.04113421558549479
264,"['12', '13', '14']",7.395016369456415,4.952816796026106,0.028592209953098413
265,"['13', '14']",7.454151580981589,5.129123486543315,0.012994114399592305
266,['14'],7.482707860587416,5.109961059914136,0.005417342333966291
267,"['14', '15']",7.4463905882807095,5.127208369422052,0.015048314037915178
268,"['14', '15', '16']",7.393403661516283,5.022346934158483,0.02901585370338089
269,"['14', '15', '16', '17']",7.32391113164622,4.898053773320789,0.047183137655459895
270,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.8770503113959265,4.387412062236544,0.15990634287477723
271,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.934595242958742,4.495728116369366,0.14578825746031665
272,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.927171555947114,4.542518693558445,0.14761619580965257
273,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.906735135172198,4.490094749041682,0.1526381527033882
274,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",6.960036430512906,4.53267973307369,0.13950900823153167
275,"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",7.074709351567703,4.640603750126082,0.11092068206168249
276,"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",7.106248631519063,4.793850096573259,0.10297592453961024
